id;date_of_origin;presence_marked;instructor_id
545;2025-02-03 12:00:00;1;377
546;2023-11-09 12:00:00;1;402
547;2024-06-09 12:00:00;1;932
548;2024-10-03 12:00:00;1;756
549;2025-02-05 12:00:00;1;402
550;2026-06-04 12:00:00;1;756
551;2025-07-03 12:00:00;1;477
552;2024-02-01 12:00:00;1;402
553;2022-11-11 12:00:00;1;78
554;2021-11-10 12:00:00;1;694
555;2024-03-11 12:00:00;1;401
556;2024-02-11 12:00:00;1;705
557;2022-09-11 12:00:00;1;476
558;2024-04-12 12:00:00;1;764
559;2023-11-05 12:00:00;1;730
560;2025-03-04 12:00:00;1;840
561;2024-12-03 12:00:00;1;738
562;2026-02-03 12:00:00;1;1441
563;2025-03-04 12:00:00;1;402
564;2026-03-02 12:00:00;1;785
565;2023-02-08 12:00:00;1;2475
566;2022-12-08 12:00:00;1;32
567;2025-01-08 12:00:00;1;7097
568;2021-12-11 12:00:00;1;32
569;2022-12-04 12:00:00;1;2475
570;2021-03-07 12:00:00;1;23
571;2024-03-05 12:00:00;1;748
572;2021-04-12 12:00:00;1;50
573;2023-02-12 12:00:00;1;66
574;2024-04-06 12:00:00;1;89
575;2024-11-06 12:00:00;1;23
576;2026-02-04 12:00:00;1;739
577;2023-06-08 12:00:00;1;730
578;2025-01-05 12:00:00;1;402
579;2025-03-04 12:00:00;1;764
580;2024-08-04 12:00:00;1;377
581;2026-02-02 12:00:00;1;714
582;2022-12-05 12:00:00;1;58
583;2024-11-04 12:00:00;1;730
584;2026-01-03 12:00:00;1;684
585;2025-04-05 12:00:00;1;730
586;2022-04-06 12:00:00;1;108
587;2023-03-10 12:00:00;1;377
588;2024-10-03 12:00:00;1;401
589;2024-03-01 12:00:00;1;377
590;2023-02-07 12:00:00;1;6954
591;2024-01-06 12:00:00;1;88
592;2026-02-04 12:00:00;1;748
593;2024-08-03 12:00:00;1;694
594;2025-03-05 12:00:00;1;730
595;2025-10-04 12:00:00;1;243
596;2024-09-05 12:00:00;1;714
597;2023-11-02 12:00:00;1;57
598;2024-02-02 12:00:00;1;57
599;2022-11-11 12:00:00;1;402
600;2024-04-11 12:00:00;1;700
601;2025-02-10 12:00:00;1;764
602;2023-05-09 12:00:00;1;477
603;2024-08-03 12:00:00;1;756
604;2024-12-06 12:00:00;1;78
605;2024-11-06 12:00:00;1;57
606;2025-08-01 12:00:00;1;146
607;2024-03-02 12:00:00;1;57
608;2022-04-07 12:00:00;1;6954
609;2023-08-07 12:00:00;1;108
610;2024-03-12 12:00:00;1;738
611;2024-04-06 12:00:00;1;377
612;2023-04-07 12:00:00;1;23
613;2024-01-07 12:00:00;1;72
614;2024-06-01 12:00:00;1;212
615;2023-10-02 12:00:00;1;89
616;2024-01-09 12:00:00;1;402
617;2025-05-06 12:00:00;1;80
618;2022-04-06 12:00:00;1;714
619;2025-09-01 12:00:00;1;243
620;2022-04-08 12:00:00;1;57
621;2024-04-07 12:00:00;1;23
622;2023-07-06 12:00:00;1;98
623;2025-03-06 12:00:00;1;477
624;2022-05-02 12:00:00;1;402
625;2022-07-02 12:00:00;1;367
626;2025-01-02 12:00:00;1;694
627;2025-10-01 12:00:00;1;1571
628;2025-04-05 12:00:00;1;402
629;2024-07-05 12:00:00;1;78
630;2024-06-04 12:00:00;1;57
