id;course_date;activity_type;instructor_id;place;presence_marked;cat2;cat3;duration;exam_date;start_time;end_time;time_of_day;examinator_id;training_id
274;2021-11-15 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
275;2021-03-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
276;2022-01-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
277;2022-01-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
278;2022-02-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
279;2022-07-07 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
280;2022-07-15 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
281;2022-08-09 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
282;2022-08-03 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
283;2022-07-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
284;2022-08-17 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
285;2021-04-12 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
286;2019-01-02 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
287;2021-11-22 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
288;2019-01-03 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
289;2021-09-06 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
290;2021-09-03 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
291;2021-08-09 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
292;2022-09-06 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
293;2021-09-01 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
294;2020-08-23 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
295;2020-07-23 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
296;2020-06-23 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
297;2023-07-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
298;2020-08-13 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
299;2020-07-16 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
300;2021-05-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
301;2024-01-22 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
302;2023-03-06 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
303;2023-12-20 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
304;2023-12-19 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
305;2024-03-08 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
306;2022-05-03 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
307;2014-06-12 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
308;2009-09-15 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
309;2011-02-10 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
310;2011-01-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
311;2016-07-21 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
