id;dateOfOrigin;presenceMarked;instructorId
706;2022-04-28 12:00:00;1;700
707;2023-09-17 12:00:00;1;243
708;2022-06-13 12:00:00;1;535
709;2021-06-22 12:00:00;1;66
710;2022-05-15 12:00:00;1;72
711;2021-06-18 12:00:00;1;148
712;2021-06-22 12:00:00;1;72
713;2023-01-21 12:00:00;1;58
714;2021-09-06 12:00:00;1;148
715;2023-08-29 12:00:00;1;359
716;2021-03-06 12:00:00;1;90
717;2021-10-12 12:00:00;1;378
718;2023-01-31 12:00:00;1;730
719;2022-04-10 12:00:00;1;23
720;2023-08-08 12:00:00;1;694
721;2024-03-12 12:00:00;1;763
722;2024-01-06 12:00:00;1;212
723;2023-06-01 12:00:00;1;98
724;2023-07-26 12:00:00;1;714
725;2023-11-20 12:00:00;1;477
726;2023-06-30 12:00:00;1;146
727;2022-08-25 12:00:00;1;88
728;2023-08-08 12:00:00;1;730
729;2021-08-09 12:00:00;1;40
