id;line_check_id;date_of_origin;carrier;flight_number;start_station;end_station;aircraft_type
560;551;2025-07-03 12:00:00;;;;;
561;552;2024-02-01 12:00:00;;;;;
562;13;2021-04-11 12:00:00;;;;;
563;553;2022-11-11 12:00:00;;;;;
564;126;2025-06-11 12:00:00;;;;;
565;554;2021-11-10 12:00:00;;;;;
566;555;2024-03-11 12:00:00;;;;;
567;556;2024-02-11 12:00:00;;;;;
568;557;2022-09-11 12:00:00;;;;;
569;558;2024-04-12 12:00:00;;;;;
570;375;2024-08-11 12:00:00;;;;;
571;559;2023-11-05 12:00:00;;;;;
572;560;2025-03-04 12:00:00;;;;;
573;561;2024-12-03 12:00:00;;;;;
574;562;2026-02-03 12:00:00;;;;;
575;563;2025-03-04 12:00:00;;;;;
576;564;2026-03-02 12:00:00;;;;;
577;565;2023-02-08 12:00:00;;;;;
578;566;2022-12-08 12:00:00;;;;;
579;567;2025-01-08 12:00:00;;;;;
580;568;2021-12-11 12:00:00;;;;;
581;569;2022-12-04 12:00:00;;;;;
582;110;2023-04-04 12:00:00;;;;;
583;183;2024-08-04 12:00:00;;;;;
584;570;2021-03-07 12:00:00;;;;;
585;68;2022-06-07 12:00:00;;;;;
586;47;2024-05-07 12:00:00;;;;;
587;571;2024-03-05 12:00:00;;;;;
588;572;2021-04-12 12:00:00;;;;;
589;11;2024-05-10 12:00:00;;;;;
590;573;2023-02-12 12:00:00;;;;;
591;10;2023-03-10 12:00:00;;;;;
592;574;2024-04-06 12:00:00;;;;;
593;575;2024-11-06 12:00:00;;;;;
594;576;2026-02-04 12:00:00;;;;;
595;577;2023-06-08 12:00:00;;;;;
596;578;2025-01-05 12:00:00;;;;;
597;579;2025-03-04 12:00:00;;;;;
598;580;2024-08-04 12:00:00;;;;;
599;581;2026-02-02 12:00:00;;;;;
600;582;2022-12-05 12:00:00;;;;;
601;52;2023-05-03 12:00:00;;;;;
602;53;2024-02-03 12:00:00;;;;;
603;583;2024-11-04 12:00:00;;;;;
604;584;2026-01-03 12:00:00;;;;;
605;585;2025-04-05 12:00:00;;;;;
606;586;2022-04-06 12:00:00;;;;;
607;21;2024-12-04 12:00:00;;;;;
608;133;2025-10-04 12:00:00;;;;;
609;587;2023-03-10 12:00:00;;;;;
610;588;2024-10-03 12:00:00;;;;;
611;589;2024-03-01 12:00:00;;;;;
612;590;2023-02-07 12:00:00;;;;;
613;591;2024-01-06 12:00:00;;;;;
614;63;2025-01-05 12:00:00;;;;;
615;592;2026-02-04 12:00:00;;;;;
616;593;2024-08-03 12:00:00;;;;;
617;594;2025-03-05 12:00:00;;;;;
618;595;2025-10-04 12:00:00;;;;;
619;596;2024-09-05 12:00:00;;;;;
620;597;2023-11-02 12:00:00;;;;;
621;598;2024-02-02 12:00:00;;;;;
622;599;2022-11-11 12:00:00;;;;;
623;600;2024-04-11 12:00:00;;;;;
624;601;2025-02-10 12:00:00;;;;;
625;602;2023-05-09 12:00:00;;;;;
626;603;2024-08-03 12:00:00;;;;;
627;604;2024-12-06 12:00:00;;;;;
